Publisher,Board Game,Number of Players
AEG,Tiny Towns,6949
AEG,Love Letter,6944
AEG,Space Base,5370
AEG,Point Salad,3468
AEG,Mystic Vale,2368
Blue Orange,Kingdomino,10175
Blue Orange,Photosynthesis,4049
Blue Orange,Planet,2575
Blue Orange,Blue Lagoon,1951
Blue Orange,Kingdomino Duel,840
CMON,Gizmos,5376
CMON,Blood Rage,4690
CMON,Rising Son,3324
CMON,The Godfather,1500
CMON,Zombicide: Black Plague,1498
Hans im Gluck,Carcassonne,9713
Hans im Gluck,Stone Age,5011
Hans im Gluck,Marco Polo,4016
Hans im Gluck,Hadara,2965
Hans im Gluck,Citadels,2546
Kosmos,Catan,6108
Kosmos,Lost Cities,4254
Kosmos,Imhotep,3005
Kosmos,Targi,2876
Kosmos,5-Minute Dungeon,1566
Lookout Games,Patchwork,8657
Lookout Games,Barenpark,4680
Lookout Games,Isle of Skye,4504
Lookout Games,Agricola,3906
Lookout Games,Caverna,3390
Stonemaier Games,Wingspan,19623
Stonemaier Games,Scythe,11652
Stonemaier Games,Viticulutre,6896
Stonemaier Games,Tapestry,6874
Stonemaier Games,Charterstone,2812
